libro,autor,editorial,anio_publicacion,num_paginas,formato,categoria,rating,popularidad_libro
Conocimientos de Arquitectura,Daniel Martinez,Alfaomega,2000,615,Digital,Arquitectura,4.39,9
El gran libro de Handbook de Robotica,Sebastian Raschka,Cengage,2013,525,Físico,Robotica,4.97,2
Conocimientos de Biodiversidad y recursos geneticos,Nuria Alvarez,Reverté,2009,603,Digital,Biodiversidad y recursos geneticos,0.51,3
Conocimientos de Educación,Andrea Gómez,Reverté,2007,286,Físico,Educación,1.81,6
Procesos de la ingeniería Civil,Nicolas Sau,Alfaomega,2011,419,Físico,Civil,2.61,6
Calidad en el desarrollo de Robotica,Fernando Jimenez,Oxford Press,2019,701,Digital,Robotica,4.03,1
El gran libro de Handbook de Economía,Agustin Reboredo,Reverté,2010,222,Digital,Economía,1.39,7
Pilares de la ingeniería Ciencias de la salud,Nuria Alvarez,Panamericana,2009,652,Digital,Ciencias de la salud,3.88,5
Aplicaciones modernas de Artes,Jose Munoz,Pearson,2006,234,Físico,Artes,1.54,3
Conocimientos de Hoteleria y turismo,Ricardo Gualán,McGraw-Hill,2017,423,Físico,Hoteleria y turismo,3.06,6
Aplicaciones modernas de Ambiental,Alfons Gonzalez,Springer,2003,483,Digital,Ambiental,3.62,10
Procesos de la ingeniería Derecho,Alfons Gonzalez,Oxford Press,2006,152,Digital,Derecho,0.95,5
Fundamentos de Derecho,Luis Martínez,Alfaomega,2008,513,Digital,Derecho,4.76,1
Aplicaciones modernas de Artes,Sergio Gomez,Oxford Press,2015,729,Físico,Artes,3.34,1
Pilares de la ingeniería Ciencias de la salud,Agustin Reboredo,Santillana,2014,146,Digital,Ciencias de la salud,1.2,8
Pilares de la ingeniería Civil,Fernando Ortega,McGraw-Hill,2022,317,Digital,Civil,4.58,8
Calidad en el desarrollo de Ciencias de la salud,Daniela Lopez,McGraw-Hill,2003,358,Digital,Ciencias de la salud,4.77,3
Fundamentos de Economía,Nuria Alvarez,Cambridge Press,2009,426,Físico,Economía,4.4,4
Procesos de la ingeniería Ciencias de la salud,Julio Martin,Cambridge Press,2018,211,Digital,Ciencias de la salud,1.75,10
Principios de Educación,Carlos Pérez,Cambridge Press,2006,577,Digital,Educación,1.02,3
Procesos de la ingeniería Civil,Fernando Jimenez,Cengage,2014,210,Digital,Civil,2.63,1
Procesos de la ingeniería Industrial,María Torres,Cambridge Press,2004,247,Digital,Industrial,0.0,3
Conocimientos de Informática,Jose Rafael,Panamericana,2003,756,Físico,Informática,3.21,4
El gran libro de Handbook de Artes,Nicolas Sau,Marcombo,2013,704,Digital,Artes,4.25,5
Principios de Ambiental,Daniela Lopez,McGraw-Hill,2018,699,Digital,Ambiental,1.07,1
Pilares de la ingeniería Artes,Luis Martínez,Santillana,2006,133,Digital,Artes,2.99,3
Sistematizacion de Artes,Verónica Salazar,Reverté,2020,356,Digital,Artes,0.43,5
Conocimientos de Arquitectura,Ricardo Gualán,Panamericana,2006,584,Físico,Arquitectura,0.68,4
Procesos de la ingeniería Economía,Patricia León,Cambridge Press,2007,773,Digital,Economía,3.1,1
Principios de Civil,Alfons Gonzalez,Cambridge Press,2016,387,Físico,Civil,3.91,4
Calidad en el desarrollo de Artes,Guillermo Pantaleon,Marcombo,2022,675,Físico,Artes,4.9,4
Aplicaciones modernas de Educación,Verónica Salazar,Springer,2003,600,Físico,Educación,4.83,8
Aplicaciones modernas de Informática,Kenneth E. Kendall,Panamericana,2017,770,Físico,Informática,0.65,4
Calidad en el desarrollo de Civil,Jose Rafael,Santillana,2022,749,Físico,Civil,1.92,9
Conocimientos de Arquitectura,Luis Martínez,Cambridge Press,2017,315,Digital,Arquitectura,3.22,2
Principios de Artes,Luis Martínez,Pearson,2017,206,Digital,Artes,0.02,7
Pilares de la ingeniería Hoteleria y turismo,Carlos Pérez,Santillana,2005,413,Físico,Hoteleria y turismo,3.0,5
El gran libro de Handbook de Educación,María Torres,Springer,2013,688,Digital,Educación,4.41,4
Fundamentos de Derecho,Daniel Martinez,Marcombo,2015,198,Físico,Derecho,1.46,5
Aplicaciones modernas de Informática,María Torres,McGraw-Hill,2000,674,Digital,Informática,0.93,1
Aplicaciones modernas de Informática,Jose Munoz,Reverté,2007,489,Digital,Informática,1.07,8
Fundamentos de Industrial,Ricardo Gualán,Marcombo,2017,245,Físico,Industrial,0.42,9
Fundamentos de Hoteleria y turismo,Fernando Jimenez,Springer,2000,549,Físico,Hoteleria y turismo,1.67,2
Calidad en el desarrollo de Filosofía,Luis Martínez,Marcombo,2011,285,Digital,Filosofía,1.2,5
Pilares de la ingeniería Filosofía,Julio Martin,Santillana,2004,364,Físico,Filosofía,3.8,7
Conocimientos de Derecho,Nuria Alvarez,Springer,2021,547,Físico,Derecho,1.2,8
El gran libro de Handbook de Industrial,Nuria Alvarez,Springer,2010,486,Digital,Industrial,4.9,9
Procesos de la ingeniería Industrial,Alfons Gonzalez,Santillana,2008,206,Digital,Industrial,0.08,2
Sistematizacion de Ambiental,Verónica Salazar,Panamericana,2017,448,Físico,Ambiental,4.38,9
Calidad en el desarrollo de Ambiental,Daniela Lopez,Marcombo,2021,371,Físico,Ambiental,0.18,5
Sistematizacion de Economía,Nicolas Sau,Oxford Press,2016,334,Físico,Economía,0.11,9
Aplicaciones modernas de Ciencias de la salud,Nicolas Sau,Springer,2020,673,Digital,Ciencias de la salud,0.66,10
Aplicaciones modernas de Ambiental,Nicolas Sau,Santillana,2001,429,Digital,Ambiental,1.47,2
Principios de Civil,Fernando Ortega,Oxford Press,2019,537,Digital,Civil,3.44,2
Fundamentos de Arquitectura,Andrea Gómez,Cengage,2019,608,Digital,Arquitectura,2.44,3
Sistematizacion de Hoteleria y turismo,Kenneth E. Kendall,Marcombo,2001,521,Digital,Hoteleria y turismo,2.3,8
Calidad en el desarrollo de Filosofía,Kenneth E. Kendall,Panamericana,2018,473,Digital,Filosofía,0.7,5
Pilares de la ingeniería Hoteleria y turismo,Paul Clements,Cambridge Press,2016,405,Digital,Hoteleria y turismo,1.98,10
Pilares de la ingeniería Economía,Alfons Gonzalez,Santillana,2009,122,Físico,Economía,0.52,8
Aplicaciones modernas de Hoteleria y turismo,Sergio Gomez,Reverté,2011,372,Físico,Hoteleria y turismo,0.87,6
Principios de Ciencias de la salud,Sergio Gomez,Pearson,2006,467,Físico,Ciencias de la salud,0.72,5
El gran libro de Handbook de Ciencias de la salud,Jose Munoz,Santillana,2007,392,Físico,Ciencias de la salud,2.88,7
Fundamentos de Civil,Carlos Pérez,Marcombo,2016,669,Físico,Civil,3.95,10
Conocimientos de Biodiversidad y recursos geneticos,Daniela Lopez,Panamericana,2000,247,Físico,Biodiversidad y recursos geneticos,2.08,7
Aplicaciones modernas de Filosofía,Carlos Javier,Marcombo,2000,708,Digital,Filosofía,3.07,3
Conocimientos de Mecanica,Fernando Jimenez,Alfaomega,2017,249,Físico,Mecanica,3.77,3
Conocimientos de Arquitectura,Luis Martínez,Springer,2021,352,Físico,Arquitectura,3.43,1
Conocimientos de Informática,Verónica Salazar,Cengage,2022,331,Digital,Informática,2.56,4
Aplicaciones modernas de Ciencias de la salud,Verónica Salazar,Springer,2002,168,Físico,Ciencias de la salud,1.26,4
Procesos de la ingeniería Educación,Luis Martínez,Cambridge Press,2000,566,Físico,Educación,0.64,8
Pilares de la ingeniería Biodiversidad y recursos geneticos,Guillermo Pantaleon,McGraw-Hill,2022,129,Digital,Biodiversidad y recursos geneticos,4.83,4
Procesos de la ingeniería Industrial,Paul Clements,Cengage,2010,232,Físico,Industrial,4.37,2
Calidad en el desarrollo de Ciencias de la salud,Alfons Gonzalez,Panamericana,2016,458,Físico,Ciencias de la salud,2.59,3
Pilares de la ingeniería Derecho,Julia Herrera,Cengage,2021,179,Digital,Derecho,3.12,10
Pilares de la ingeniería Filosofía,Alfons Gonzalez,Reverté,2020,764,Físico,Filosofía,4.7,4
Pilares de la ingeniería Robotica,Jose Rafael,Alfaomega,2002,149,Digital,Robotica,0.01,8
Fundamentos de Biodiversidad y recursos geneticos,Guillermo Pantaleon,Pearson,2006,571,Digital,Biodiversidad y recursos geneticos,1.21,8
Calidad en el desarrollo de Artes,Daniel Martinez,Cambridge Press,2005,245,Digital,Artes,3.04,4
Pilares de la ingeniería Ambiental,Ricardo Gualán,Santillana,2009,453,Físico,Ambiental,5.0,4
Conocimientos de Arquitectura,Nuria Alvarez,Panamericana,2009,789,Físico,Arquitectura,4.1,4
Procesos de la ingeniería Educación,Esteban Aguilar,Marcombo,2018,767,Digital,Educación,4.27,9
Procesos de la ingeniería Ciencias de la salud,Fernando Ortega,Panamericana,2014,197,Digital,Ciencias de la salud,0.72,1
El gran libro de Handbook de Educación,Fernando Jimenez,Springer,2007,684,Digital,Educación,1.2,3
Pilares de la ingeniería Informática,Esteban Aguilar,Alfaomega,2006,339,Digital,Informática,2.86,10
Principios de Biodiversidad y recursos geneticos,Fernando Jimenez,McGraw-Hill,2019,716,Físico,Biodiversidad y recursos geneticos,2.69,3
Pilares de la ingeniería Economía,Sergio Gomez,Panamericana,2009,527,Digital,Economía,3.15,8
Procesos de la ingeniería Artes,Paul Clements,Panamericana,2020,571,Físico,Artes,2.42,5
Calidad en el desarrollo de Ambiental,Andrea Gómez,Reverté,2014,189,Digital,Ambiental,0.75,8
Principios de Filosofía,Nicolas Sau,Santillana,2010,254,Digital,Filosofía,1.3,9
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Esteban Aguilar,Alfaomega,2008,313,Físico,Biodiversidad y recursos geneticos,1.06,5
Aplicaciones modernas de Educación,Luis Martínez,Marcombo,2005,318,Físico,Educación,1.6,10
Conocimientos de Arquitectura,Carlos Pérez,Cambridge Press,2008,151,Digital,Arquitectura,3.01,6
Aplicaciones modernas de Arquitectura,Jose Munoz,Pearson,2006,415,Físico,Arquitectura,4.68,8
Principios de Biodiversidad y recursos geneticos,Verónica Salazar,Oxford Press,2016,134,Físico,Biodiversidad y recursos geneticos,3.45,4
Fundamentos de Biodiversidad y recursos geneticos,Julia Herrera,Oxford Press,2006,180,Físico,Biodiversidad y recursos geneticos,3.24,2
Conocimientos de Educación,Nuria Alvarez,McGraw-Hill,2010,274,Digital,Educación,3.31,5
Pilares de la ingeniería Biodiversidad y recursos geneticos,Julio Martin,Springer,2020,534,Físico,Biodiversidad y recursos geneticos,2.74,5
Procesos de la ingeniería Hoteleria y turismo,Julio Martin,Pearson,2019,717,Físico,Hoteleria y turismo,4.1,1
Principios de Civil,Nuria Alvarez,Pearson,2005,276,Físico,Civil,4.32,3
Sistematizacion de Filosofía,María Torres,Cambridge Press,2000,626,Digital,Filosofía,3.68,9
Principios de Hoteleria y turismo,Jose Munoz,Cengage,2016,776,Digital,Hoteleria y turismo,4.49,3
El gran libro de Handbook de Derecho,Fernando Jimenez,Marcombo,2021,171,Digital,Derecho,4.97,3
El gran libro de Handbook de Ambiental,Luis Martínez,Alfaomega,2020,720,Digital,Ambiental,4.85,6
Calidad en el desarrollo de Ambiental,Nicolas Sau,Pearson,2016,230,Digital,Ambiental,4.61,4
Procesos de la ingeniería Industrial,Verónica Salazar,Panamericana,2011,171,Físico,Industrial,1.88,8
Sistematizacion de Robotica,Agustin Reboredo,McGraw-Hill,2018,656,Físico,Robotica,1.03,5
Fundamentos de Ciencias de la salud,Julio Martin,Panamericana,2019,792,Físico,Ciencias de la salud,0.71,3
El gran libro de Handbook de Robotica,Luis Martínez,Oxford Press,2009,187,Físico,Robotica,2.75,2
Aplicaciones modernas de Ciencias de la salud,Nuria Alvarez,McGraw-Hill,2000,151,Físico,Ciencias de la salud,3.69,9
Procesos de la ingeniería Arquitectura,Paul Clements,Panamericana,2002,425,Digital,Arquitectura,3.08,3
Fundamentos de Civil,Sergio Gomez,Panamericana,2020,286,Físico,Civil,0.3,7
Aplicaciones modernas de Robotica,Verónica Salazar,Marcombo,2005,582,Digital,Robotica,4.45,4
Procesos de la ingeniería Robotica,Alfons Gonzalez,Santillana,2003,632,Digital,Robotica,2.92,8
Conocimientos de Robotica,Sebastian Raschka,Santillana,2006,514,Digital,Robotica,2.99,10
Calidad en el desarrollo de Educación,Julia Herrera,Cambridge Press,2007,432,Digital,Educación,1.69,2
Pilares de la ingeniería Filosofía,Andrea Gómez,Cambridge Press,2019,405,Físico,Filosofía,0.92,8
Calidad en el desarrollo de Informática,Alfons Gonzalez,Cengage,2016,251,Físico,Informática,0.41,9
Procesos de la ingeniería Ambiental,Daniela Lopez,Cambridge Press,2019,632,Físico,Ambiental,0.86,9
Conocimientos de Ciencias de la salud,Patricia León,Pearson,2013,635,Físico,Ciencias de la salud,0.19,9
Fundamentos de Derecho,Jose Rafael,Springer,2004,412,Digital,Derecho,4.12,2
Principios de Robotica,Julio Martin,Oxford Press,2001,210,Digital,Robotica,2.19,9
Procesos de la ingeniería Ciencias de la salud,Luis Martínez,Oxford Press,2021,290,Digital,Ciencias de la salud,2.22,7
Calidad en el desarrollo de Filosofía,Carlos Javier,McGraw-Hill,2001,168,Digital,Filosofía,4.7,10
Fundamentos de Industrial,Luis Martínez,Cambridge Press,2002,211,Digital,Industrial,0.57,7
Principios de Hoteleria y turismo,Julio Martin,Reverté,2000,631,Físico,Hoteleria y turismo,1.24,4
Aplicaciones modernas de Ciencias de la salud,Patricia León,Panamericana,2020,229,Físico,Ciencias de la salud,0.75,2
Aplicaciones modernas de Ambiental,Verónica Salazar,Pearson,2005,224,Físico,Ambiental,2.41,8
Pilares de la ingeniería Filosofía,Paul Clements,Reverté,2014,517,Digital,Filosofía,0.28,2
Principios de Ciencias de la salud,Julia Herrera,Cengage,2013,209,Físico,Ciencias de la salud,4.83,1
Calidad en el desarrollo de Hoteleria y turismo,Paul Clements,Alfaomega,2018,424,Digital,Hoteleria y turismo,0.01,7
Aplicaciones modernas de Hoteleria y turismo,Sebastian Raschka,Alfaomega,2017,777,Digital,Hoteleria y turismo,4.28,3
Fundamentos de Artes,Nuria Alvarez,Reverté,2012,637,Físico,Artes,2.47,5
Conocimientos de Robotica,Jose Rafael,Reverté,2019,794,Digital,Robotica,4.81,1
Calidad en el desarrollo de Robotica,Ricardo Gualán,Marcombo,2002,461,Digital,Robotica,0.99,8
El gran libro de Handbook de Hoteleria y turismo,Sergio Gomez,Alfaomega,2010,483,Físico,Hoteleria y turismo,3.21,9
Aplicaciones modernas de Filosofía,Sergio Gomez,Santillana,2011,300,Físico,Filosofía,3.37,2
Calidad en el desarrollo de Ciencias de la salud,Carlos Javier,Cambridge Press,2006,157,Digital,Ciencias de la salud,1.92,5
Fundamentos de Arquitectura,Nuria Alvarez,Panamericana,2018,487,Digital,Arquitectura,2.6,2
El gran libro de Handbook de Artes,Nicolas Sau,Alfaomega,2008,139,Físico,Artes,0.37,2
Sistematizacion de Derecho,Fernando Jimenez,Pearson,2020,525,Físico,Derecho,4.29,2
El gran libro de Handbook de Civil,Jose Rafael,Cambridge Press,2020,335,Físico,Civil,4.84,5
Sistematizacion de Filosofía,Daniela Lopez,Reverté,2016,343,Físico,Filosofía,0.95,1
Conocimientos de Artes,Fernando Ortega,Panamericana,2016,263,Digital,Artes,0.47,3
Aplicaciones modernas de Economía,Daniel Martinez,Oxford Press,2001,792,Digital,Economía,2.69,10
Calidad en el desarrollo de Filosofía,Andrea Gómez,Alfaomega,2004,141,Físico,Filosofía,0.37,1
Fundamentos de Robotica,Nuria Alvarez,Pearson,2003,797,Digital,Robotica,4.09,3
Procesos de la ingeniería Derecho,Kenneth E. Kendall,Oxford Press,2015,167,Físico,Derecho,2.07,2
Aplicaciones modernas de Informática,Daniela Lopez,Marcombo,2021,345,Digital,Informática,0.11,9
Calidad en el desarrollo de Civil,Nicolas Sau,Oxford Press,2010,245,Digital,Civil,4.21,10
Principios de Filosofía,Alfons Gonzalez,Springer,2018,627,Físico,Filosofía,4.45,10
Fundamentos de Informática,Luis Martínez,Oxford Press,2000,428,Digital,Informática,4.0,5
Sistematizacion de Derecho,Patricia León,Cengage,2020,516,Físico,Derecho,0.78,10
Conocimientos de Industrial,Julio Martin,Panamericana,2011,569,Digital,Industrial,4.95,10
Aplicaciones modernas de Civil,Andrea Gómez,Marcombo,2005,599,Digital,Civil,3.48,6
El gran libro de Handbook de Artes,Carlos Javier,Pearson,2010,562,Físico,Artes,4.75,4
El gran libro de Handbook de Derecho,Sebastian Raschka,Reverté,2021,531,Físico,Derecho,4.17,8
Aplicaciones modernas de Filosofía,Patricia León,Pearson,2001,696,Físico,Filosofía,0.3,9
Principios de Educación,Ricardo Gualán,Reverté,2016,719,Físico,Educación,0.73,10
Aplicaciones modernas de Derecho,Daniel Martinez,Santillana,2007,303,Digital,Derecho,2.97,5
Fundamentos de Civil,Carlos Pérez,Santillana,2008,281,Físico,Civil,2.82,6
Procesos de la ingeniería Hoteleria y turismo,Guillermo Pantaleon,McGraw-Hill,2019,407,Digital,Hoteleria y turismo,0.79,2
Calidad en el desarrollo de Informática,Julia Herrera,Reverté,2010,426,Digital,Informática,3.66,7
Sistematizacion de Derecho,Sergio Gomez,Pearson,2016,165,Físico,Derecho,4.85,4
Procesos de la ingeniería Filosofía,Kenneth E. Kendall,Panamericana,2021,772,Físico,Filosofía,4.66,10
El gran libro de Handbook de Derecho,Jose Rafael,Santillana,2015,235,Digital,Derecho,3.81,10
Sistematizacion de Artes,Kenneth E. Kendall,Cambridge Press,2003,208,Digital,Artes,1.29,2
Procesos de la ingeniería Educación,Kenneth E. Kendall,Springer,2007,342,Digital,Educación,0.02,2
Fundamentos de Ambiental,Paul Clements,Reverté,2009,165,Digital,Ambiental,2.99,5
Sistematizacion de Robotica,Patricia León,Pearson,2015,548,Digital,Robotica,1.85,10
Principios de Arquitectura,Kenneth E. Kendall,Pearson,2010,770,Digital,Arquitectura,0.08,8
Fundamentos de Biodiversidad y recursos geneticos,Andrea Gómez,Pearson,2015,276,Digital,Biodiversidad y recursos geneticos,2.92,7
Conocimientos de Ciencias de la salud,Kenneth E. Kendall,Panamericana,2011,474,Digital,Ciencias de la salud,4.96,2
Conocimientos de Derecho,Julio Martin,Santillana,2004,185,Digital,Derecho,3.63,6
Sistematizacion de Mecanica,Guillermo Pantaleon,Cengage,2015,790,Digital,Mecanica,1.6,2
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Nicolas Sau,Oxford Press,2016,418,Físico,Biodiversidad y recursos geneticos,1.99,4
Pilares de la ingeniería Civil,Andrea Gómez,Oxford Press,2004,391,Físico,Civil,4.47,5
El gran libro de Handbook de Informática,Carlos Javier,Santillana,2014,648,Digital,Informática,2.99,2
Principios de Industrial,Luis Martínez,Reverté,2001,638,Digital,Industrial,1.64,1
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Luis Martínez,Panamericana,2007,396,Digital,Biodiversidad y recursos geneticos,3.61,8
Procesos de la ingeniería Ciencias de la salud,Kenneth E. Kendall,Oxford Press,2003,745,Físico,Ciencias de la salud,2.87,10
Pilares de la ingeniería Informática,Patricia León,Panamericana,2001,795,Digital,Informática,0.72,6
Procesos de la ingeniería Educación,Agustin Reboredo,Springer,2006,351,Digital,Educación,1.23,5
Aplicaciones modernas de Ambiental,Sebastian Raschka,Pearson,2022,757,Digital,Ambiental,3.38,10
Sistematizacion de Robotica,Kenneth E. Kendall,McGraw-Hill,2012,241,Físico,Robotica,0.4,3
Calidad en el desarrollo de Industrial,Patricia León,Panamericana,2010,321,Físico,Industrial,0.68,3
Fundamentos de Biodiversidad y recursos geneticos,Luis Martínez,Reverté,2013,535,Físico,Biodiversidad y recursos geneticos,4.25,4
Sistematizacion de Filosofía,Alfons Gonzalez,Santillana,2012,215,Físico,Filosofía,1.17,9
Calidad en el desarrollo de Ambiental,Sergio Gomez,Oxford Press,2018,427,Físico,Ambiental,2.87,1
Fundamentos de Ciencias de la salud,Guillermo Pantaleon,Oxford Press,2012,681,Físico,Ciencias de la salud,2.33,10
Aplicaciones modernas de Hoteleria y turismo,Fernando Jimenez,Marcombo,2020,618,Digital,Hoteleria y turismo,1.16,7
Conocimientos de Ciencias de la salud,Fernando Ortega,Springer,2009,208,Físico,Ciencias de la salud,3.85,9
Conocimientos de Filosofía,Guillermo Pantaleon,Marcombo,2004,191,Digital,Filosofía,3.08,6
Principios de Robotica,Esteban Aguilar,McGraw-Hill,2008,305,Digital,Robotica,4.04,3
Pilares de la ingeniería Hoteleria y turismo,Fernando Ortega,Springer,2016,123,Digital,Hoteleria y turismo,0.24,7
Sistematizacion de Industrial,Jose Munoz,Santillana,2006,543,Digital,Industrial,0.42,1
Sistematizacion de Filosofía,Luis Martínez,Cengage,2001,446,Físico,Filosofía,2.89,9
Procesos de la ingeniería Ciencias de la salud,Julia Herrera,Alfaomega,2020,668,Físico,Ciencias de la salud,2.18,1
El gran libro de Handbook de Artes,Carlos Pérez,Oxford Press,2021,528,Físico,Artes,0.04,10
Sistematizacion de Hoteleria y turismo,Nicolas Sau,Panamericana,2018,143,Físico,Hoteleria y turismo,2.22,4
Conocimientos de Civil,Carlos Pérez,Alfaomega,2018,200,Físico,Civil,4.49,2
El gran libro de Handbook de Ambiental,María Torres,Panamericana,2010,258,Físico,Ambiental,2.02,5
Pilares de la ingeniería Educación,Alfons Gonzalez,Marcombo,2006,708,Digital,Educación,3.95,5
Fundamentos de Hoteleria y turismo,Carlos Javier,Oxford Press,2001,736,Digital,Hoteleria y turismo,4.84,5
Procesos de la ingeniería Biodiversidad y recursos geneticos,Verónica Salazar,Cengage,2022,303,Digital,Biodiversidad y recursos geneticos,2.87,8
Procesos de la ingeniería Biodiversidad y recursos geneticos,Guillermo Pantaleon,Santillana,2000,629,Físico,Biodiversidad y recursos geneticos,2.19,3
Pilares de la ingeniería Economía,Carlos Javier,Springer,2004,775,Físico,Economía,2.86,7
Calidad en el desarrollo de Arquitectura,Sebastian Raschka,Springer,2009,255,Físico,Arquitectura,3.38,1
Sistematizacion de Economía,Kenneth E. Kendall,Cambridge Press,2013,410,Físico,Economía,4.8,4
El gran libro de Handbook de Biodiversidad y recursos geneticos,Daniela Lopez,Springer,2000,578,Físico,Biodiversidad y recursos geneticos,2.91,6
Fundamentos de Economía,Nuria Alvarez,Alfaomega,2014,757,Físico,Economía,0.91,9
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Fernando Jimenez,McGraw-Hill,2000,411,Digital,Biodiversidad y recursos geneticos,2.84,5
Conocimientos de Economía,Jose Munoz,Cengage,2014,296,Físico,Economía,0.05,3
Fundamentos de Hoteleria y turismo,Jose Munoz,Alfaomega,2012,450,Físico,Hoteleria y turismo,2.55,7
Principios de Ambiental,Nuria Alvarez,Cambridge Press,2013,350,Físico,Ambiental,0.54,4
Aplicaciones modernas de Educación,Patricia León,Oxford Press,2000,204,Físico,Educación,4.59,2
Conocimientos de Hoteleria y turismo,Nicolas Sau,Alfaomega,2003,360,Digital,Hoteleria y turismo,2.52,2
Conocimientos de Arquitectura,Jose Munoz,McGraw-Hill,2007,352,Físico,Arquitectura,0.09,7
Aplicaciones modernas de Educación,Sebastian Raschka,Alfaomega,2004,380,Físico,Educación,1.68,9
Principios de Arquitectura,Jose Rafael,McGraw-Hill,2014,244,Físico,Arquitectura,1.05,8
El gran libro de Handbook de Arquitectura,Carlos Javier,McGraw-Hill,2010,297,Digital,Arquitectura,0.03,4
Calidad en el desarrollo de Arquitectura,Kenneth E. Kendall,Oxford Press,2002,798,Digital,Arquitectura,1.46,2
Aplicaciones modernas de Biodiversidad y recursos geneticos,Andrea Gómez,Marcombo,2020,457,Físico,Biodiversidad y recursos geneticos,4.17,7
Fundamentos de Industrial,Kenneth E. Kendall,Marcombo,2014,396,Físico,Industrial,2.39,9
Principios de Filosofía,Nuria Alvarez,Springer,2011,335,Digital,Filosofía,3.18,9
Fundamentos de Industrial,Luis Martínez,Santillana,2018,141,Físico,Industrial,3.6,2
Sistematizacion de Robotica,Fernando Ortega,Cambridge Press,2012,666,Digital,Robotica,2.35,6
Principios de Hoteleria y turismo,Guillermo Pantaleon,Alfaomega,2003,633,Físico,Hoteleria y turismo,3.05,5
Procesos de la ingeniería Mecanica,Sergio Gomez,Pearson,2000,260,Digital,Mecanica,2.34,8
Procesos de la ingeniería Filosofía,Andrea Gómez,Marcombo,2022,451,Digital,Filosofía,4.06,8
Fundamentos de Ambiental,Julia Herrera,Reverté,2012,212,Digital,Ambiental,1.74,7
Fundamentos de Ciencias de la salud,Julia Herrera,Santillana,2011,239,Físico,Ciencias de la salud,2.3,1
Sistematizacion de Ciencias de la salud,Nicolas Sau,Panamericana,2016,500,Digital,Ciencias de la salud,0.67,9
El gran libro de Handbook de Robotica,Jose Rafael,Cambridge Press,2005,730,Digital,Robotica,4.15,2
El gran libro de Handbook de Arquitectura,Esteban Aguilar,Cambridge Press,2015,601,Digital,Arquitectura,2.42,1
El gran libro de Handbook de Hoteleria y turismo,Jose Munoz,Cambridge Press,2017,253,Digital,Hoteleria y turismo,3.05,9
Principios de Filosofía,Sebastian Raschka,Oxford Press,2016,204,Digital,Filosofía,0.46,5
Pilares de la ingeniería Arquitectura,Esteban Aguilar,Reverté,2013,498,Digital,Arquitectura,1.72,4
Pilares de la ingeniería Mecanica,Carlos Pérez,Santillana,2005,733,Digital,Mecanica,2.07,5
Sistematizacion de Mecanica,Carlos Javier,Alfaomega,2021,655,Físico,Mecanica,0.68,10
Conocimientos de Industrial,Fernando Jimenez,Reverté,2017,559,Físico,Industrial,4.18,1
Sistematizacion de Ambiental,Julia Herrera,McGraw-Hill,2010,564,Digital,Ambiental,3.56,9
Conocimientos de Ambiental,Kenneth E. Kendall,Reverté,2006,634,Físico,Ambiental,4.63,1
Principios de Economía,Esteban Aguilar,Cambridge Press,2011,548,Digital,Economía,1.85,1
Calidad en el desarrollo de Informática,Agustin Reboredo,Santillana,2004,721,Físico,Informática,2.19,10
Conocimientos de Hoteleria y turismo,Agustin Reboredo,Panamericana,2000,746,Físico,Hoteleria y turismo,2.16,7
Fundamentos de Arquitectura,Sebastian Raschka,Oxford Press,2000,676,Físico,Arquitectura,2.6,2
Sistematizacion de Economía,Andrea Gómez,Cengage,2010,588,Físico,Economía,1.75,7
Calidad en el desarrollo de Industrial,Fernando Ortega,Alfaomega,2012,367,Físico,Industrial,2.33,4
Sistematizacion de Informática,Jose Rafael,McGraw-Hill,2006,552,Digital,Informática,4.56,4
Principios de Artes,Sebastian Raschka,Cengage,2021,513,Digital,Artes,4.65,2
Sistematizacion de Robotica,Daniela Lopez,Cambridge Press,2011,207,Físico,Robotica,1.88,8
Fundamentos de Ciencias de la salud,Sebastian Raschka,McGraw-Hill,2007,621,Digital,Ciencias de la salud,0.9,6
Calidad en el desarrollo de Industrial,Alfons Gonzalez,Alfaomega,2013,774,Físico,Industrial,1.54,7
Calidad en el desarrollo de Industrial,Esteban Aguilar,Alfaomega,2012,691,Físico,Industrial,2.5,3
Calidad en el desarrollo de Derecho,Luis Martínez,McGraw-Hill,2019,766,Digital,Derecho,0.52,10
Procesos de la ingeniería Economía,Kenneth E. Kendall,Reverté,2001,150,Digital,Economía,0.85,2
El gran libro de Handbook de Ambiental,María Torres,McGraw-Hill,2006,689,Físico,Ambiental,1.95,10
Aplicaciones modernas de Derecho,Fernando Ortega,Santillana,2021,359,Físico,Derecho,0.23,1
Aplicaciones modernas de Filosofía,Carlos Pérez,Cambridge Press,2006,503,Físico,Filosofía,0.9,5
Pilares de la ingeniería Ambiental,Jose Munoz,Pearson,2011,566,Digital,Ambiental,0.98,4
Aplicaciones modernas de Educación,Sebastian Raschka,Marcombo,2020,588,Físico,Educación,1.73,3
Calidad en el desarrollo de Hoteleria y turismo,Daniel Martinez,Oxford Press,2013,315,Físico,Hoteleria y turismo,4.96,1
Conocimientos de Derecho,Nicolas Sau,Cengage,2014,220,Físico,Derecho,0.1,1
